variable_name,Description,Soda Ash Precipitation,Thickening + Dewatering,Washing & purification,Drying & Packaging
step_id,Step ID (unique),precipitation_step,thicken_dewater,wash_purif_step,drying_packaging
step_name,Human-readable process step,Soda ash precipitation (Li₂CO₃),Thickening and dewatering,Washing & purification,Drying & packaging
key_equation,"Key equation, chemical or physical, evaluated in this step.",Li+ + (CO3)2- --> Li2CO3 via addition of Na2CO3. Assume output is 20% Li2CO3. Conversion factor of L_pls to L_slurry: calculated via determined by density_slurry mg/L * (mg Li2CO3 / mg slurry) * (mg Li / mg Li2CO3) where density_slurry = wt slurry/ L_slurry = 1.118 g/cm^3 = 1.118 mg/L (see step 5 notes). wt Li2CO3 / wt slurry = 20% from assumption. wt Li / wt Li2CO3 = 2*6.94/73.89 = 0.188 --> 1.118*0.20*0.188 mg Li / L slurry. Multiply by 10^3 to get mg Li / m3 slurry. This would be multiplied by the L_slurry and divided by Li concentration from input PLS concentration (* 1 / (mg Li / L PLS))) to get the L of PLS. ,"Thickening & dewatering for higher density. 20% Li2CO3 --> 70% Li2CO3, using equation defined in washing and purifying step (also at end of this note), takes 1.118 g/cm^3 slurry to 1.58 g/cm^3 cake. We go from ~223.6 kg Li2CO3 and 894.4 kg water in the slurry per m^3 to 223.6 kg Li2CO3 and 95.8 kg water in the 70/30 cake. 319.4 kg / 1.58 kg/m^3 ≈ 0.202 m^3 cake per 1 m^3 slurry. equation: density = 1 / (r_Li2CO3 / rho_Li2CO3 + (1 - r_Li2CO3) / (rho_water))",Removal of any remaining soluble Na/K/Mg from cake via water washing,"Based on density (function of constituent fractions); mass_Li2CO3 (V_cake) = V_cake / (r_Li2CO3 / rho_Li2CO3 + (1 - r_Li2CO3) / (rho_water)) * yield, where r_Li2CO3 is the ratio of Li2CO3 to total cake mass, in this case assumed to be 70%. With rho_Li2CO3 = 2.11 g/cm3 and assuming relatively pure water (rho_water ≈ 1 g/cm3), we need roughly 0.903 L of cake per kg Li2CO3. Since the conversion is from m3 of cake to tonnes Li2CO3, divide 1 (m3-->L but kg-->tonnes) by 0.903"
notes,"Key information, notes",Li precipitation as carbonate at pH ~10.5; 5% Na2CO3 excess. ,Prepare filter cake via pressing,"Wash to remove residual Na, K, Mg","Drying to ~99% Li₂CO₃, bagging for sale"
machine_options,,precipitator.conservative; precipitator.midpoint; precipitator.optimistic,presser,wash_purify_combo,drying_packaging_generic; drying_packaging_propane
machine_default,,precipitator.midpoint,presser,wash_purify_combo,drying_packaging_generic
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from; also the unit that machine is sized to,polish_pls_throughput,slurry_press_throughput,cake_wash_throughput,cake_dry_throughput
step_basis_unit,,L polished PLS,m3 lithium slurry (20% carbonate) being pressed,m3 Li2CO3 cake being washed (70% solids),tonnes Li2CO3 cake being dried & packed
step_ccf,Constituent conversion factor from constituent units to step_basis units,2.288E-07,2.235E-04,1.108E-03,0.0007
