machine_block_name,Description,brine_pump.conservative,brine_pump.midpoint,brine_pump.optimistic,evaporation_pond_lined.conservative,evaporation_pond_lined.midpoint,evaporation_pond_lined.optimistic,evaporation_pond_unlined.conservative,evaporation_pond_unlined.midpoint,evaporation_pond_unlined.optimistic,blasting_generic.conservative,blasting_generic.midpoint,blasting_generic.optimistic,excavation_loading_generic.conservative,excavation_loading_generic.midpoint,excavation_loading_generic.optimistic,crushing_cycle.conservative,crushing_cycle.midpoint,crushing_cycle.optimistic,attrition_scrubber.conservative,attrition_scrubber.midpoint,attrition_scrubber.optimistic,classifier_generic.conservative,classifier_generic.midpoint,classifier_generic.optimistic,classifier_flotation.conservative,classifier_flotation.midpoint,classifier_flotation.optimistic,high_energy_grinding_mill.conservative,high_energy_grinding_mill.midpoint,high_energy_grinding_mill.optimistic,sulfuric_acid_roaster,sulfate_roasting_train_lepidolite.conservative,sulfate_roasting_train_lepidolite.midpoint,sulfate_roasting_train_lepidolite.optimistic,calciner_generic,acid_leach_circuit.conservative,acid_leach_circuit.midpoint,acid_leach_circuit.optimistic,water_leach.conservative,water_leach.midpoint,water_leach.optimistic,chlor-alkali_leach_circuit,cstr_generic,solid_liquid_separation.conservative,solid_liquid_separation.midpoint,solid_liquid_separation.optimistic,thickener_generic.conservative,thickener_generic.midpoint,thickener_generic.optimistic,multi_stage_ccd_thickening.conservative,multi_stage_ccd_thickening.midpoint,multi_stage_ccd_thickening.optimistic,mechanical_dewatering.conservative,mechanical_dewatering.midpoint,mechanical_dewatering.optimistic,two_stage_neutralizing_circuit.conservative,two_stage_neutralizing_circuit.midpoint,two_stage_neutralizing_circuit.optimistic,staged_neutralization.conservative,staged_neutralization.midpoint,staged_neutralization.optimistic,liming_system,sx_generic,ix_generic,dle_adsorption,strip_elution_circuit,precipitator.conservative,precipitator.midpoint,precipitator.optimistic,batch_treatment_generic.conservative,batch_treatment_generic.midpoint,batch_treatment_generic.optimistic,wash_purify_combo.conservative,wash_purify_combo.midpoint,wash_purify_combo.optimistic,boron_removal,ion_exchange_polishing,recrystallization,drying_packaging_generic.conservative,drying_packaging_generic.midpoint,drying_packaging_generic.optimistic,drying_packaging_propane.conservative,drying_packaging_propane.midpoint,drying_packaging_propane.optimistic
batch_setup_time,,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0,0,0,,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,0.2,0.2,0.2,-,-,-,-,-,-,-,,,,,,,,1,1,1,0.2,0.2,0.2,,,,,,,,,
batch_setup_time_unit,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,hour,hour,hour,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,hour,hour,hour,,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,h,h,h,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,hr,hr,hr,h,h,h,,,,,,,,,
dedicated_line,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
electricity_base_total,"Reference electricity use, for base volume",117,108,90,0,0,0,0,0,0,0,0,0,0,0,0,1950,1680,1470,210,150,100,80,52,34,400,210,84,900,600,420,,270,200,160,,655,455,305,120,65,40,,450,36,20,14,70,50,35,128,80,52,90,50,32,110,80,60,168,120,90,150,200,,,,75,50,25,18,10,6,180,120,84,150,,,284,210,210,284,210,210
electricity_base_total_unit,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,kWh/h,kWh/h,kWh/h,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,,,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h,kWh/h
natural_gas_base_total,Reference gas consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,150,100,75,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1.86,1.24,0.93,0.0,0.0,0.0
natural_gas_base_total_unit,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,MMBTU/h,MMBTU/h,MMBTU/h,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,,,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h,MMBTU/h
diesel_base_total,Reference diesel usage,0,0,0,0,0,0,0,0,0,30,20,10,120,85,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
diesel_base_total_unit,,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h,L/h
propane_base_total,Reference propane usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,65,43,32
