Project Name,Type,Notes,Production Volume (Tonnes LCE / Year),Project Lifetime,ROM feed?,Initial Concentration,Concentration Units,Initial Density,Material Density Unit,Intermediate Concentration,Concentration Units,Intermediate Density,Material Density Unit,Pond Recovery Efficiency,Strip Ratio,Dilution,Loss,Swell Factor,Powder Factor,Pathway 1,Location 1,Transport 1,Pathway 2,Location 2,Transport 2,Pathway 3,Location 3
James Bay,Spodumene,,"296,760",19,,,,,g/cm3,,,,g/cm3,-,3.85,0.1,0.05,1.35,0.3,Blast Mining,Canada,haul_truck: ,Crushing & Beneficiation via DMS,Canada,barge:,Sulfate Roast?,Canada
Greenbushes - Chemical Grade Plant,Spodumene,,"311,598",32,,,,,g/cm3,,,,g/cm3,-,3.32,0.1,0.05,1.35,0.3,Blast Mining,Australia,haul_truck: ,Crushing & Beneficiation via Flotation,Australia,barge:,Sulfate Roast?,China
Rose Lithium-Tantalum,Spodumene,,"27,715",15.33,,,,,g/cm3,,,,g/cm3,-,7.35,0.1,0.05,1.35,0.3,Blast Mining,Canada,haul_truck: ,Crushing & Beneficiation via Flotation,Canada,,Sulfate Roast?,Canada
Shaakichiuwaanaan,Spodumene,,"112,556",18,,,,,g/cm3,,,,g/cm3,-,3.73,0.16,0.03,1.35,0.3,Blast Mining,Canada,haul_truck: ,Crushing & Beneficiation via DMS,Canada,,Sulfate Roast?,United States
Carolina Lithium,Spodumene,,"242,000",11,,,,,g/cm3,,,,g/cm3,-,11.57,0.1,0.05,1.35,0.3,Blast Mining,United States,haul_truck: ,Crushing & Beneficiation via DMS,United States,,Sulfate Roast?,USA
Whabouchi,Spodumene,,"71,528",24,,,,,g/cm3,,,,g/cm3,-,3.89,0.15,0.03,1.35,0.3,Blast Mining,Canada,haul_truck: ,Crushing & Beneficiation via DMS,Canada,,Sulfate Roast?,Canada
Falchani,Clays,,"84,261",43,TRUE,Li: 3067; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,0.93,0.05,0.03,1.25,0.2,Blast Mining,Peru,haul_truck: ,Sulfate Roast + Water Leach,Peru,,,
Rhyolite Ridge,Clays,"Note claimed production target of 22,695 short tons per year.","20,589",25,,Li: 1800; K: 0; Mg: 0; Ca: 0; Na: 0; B: 15400; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,7.02,0.09,0.06,1.25,0.2,Blast Mining,United States,haul_truck: ,Sulfate Roast + Water Leach,United States,,,
Thacker Pass,Clays,,"66,800",40,TRUE,Li: 3270; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,1.6,g/cm3,Li: 4563; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,1.51,0.15,0.06,1,-,Non-Blast Excavating,United States,haul_truck: 2,Sulfuric Acid Leach,United States,,,
Bonnie Claire (2024),Clays,Reverted to this more traditional method because 'The calcination flowsheet was not successful in handling materials with high boron concentrations (searlesite minerals).',(no production forecast),-,,Li: 1106; K: 0; Mg: 0; Ca: 0; Na: 0; B: 1505; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,,0.15,0.25,1.15,-,Non-Blast Excavating,United States,haul_truck: 2,Sulfuric Acid Leach,United States,,,
TLC (Tonopah Lithium Claims),Clays,,"48,000",40,,Li: 1205; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,5.24,0.15,0.06,1.15,-,Non-Blast Excavating,United States,haul_truck: 2,Sulfuric Acid Leach,United States,,,
Clayton Valley (Angel Island),Clays,,"22,500",40,,Li: 1149; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,0.21,0.15,0.06,1.15,-,Non-Blast Excavating,United States,haul_truck: ,Chlor-Alkali Leach + DLE,United States,,,
Bonnie Claire (2022),Clays,"Largely disregard this line; in 2024 disclosure, they shifted to a much more standard open pit extraction + sulfuric acid method, but also provided a less detailed disclosure as a result.","32,300",40,,Li: 1013; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,,,0.32,,-,Borehole Mining & Excavation,United States,haul_truck: ,Salt Roast + Water Leach,United States,,,
Sonora,Clays,,"35,000",19,,Li: 4151; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,2.85,0.05,0.03,1.15,0.2,Blasting & Excavation,Mexico,haul_truck: ,Salt Roast + Water Leach,Mexico,,,
Tonopah Flats,Clays,Target is Hydroxide production.,"29,073",50,,Li: 680; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,Li: 0; K: 0; Mg: 0; Ca: 0; Na: 0; B: 0; SO4: 0; Si: 0; Rb: 0; F: 0; Cs:0,ppm,,g/cm3,-,0.45,0.05,0.03,1.25,0.2,Blasting & Excavation,United States,haul_truck: ,Salt Roast + Water Leach,United States,,,
Xiangyuan,Lepidolite,,,-,,,ppm,,g/cm3,,ppm,,g/cm3,-,,,,,,Blasting & Excavation,China,haul_truck: ,Salt Roast + Water Leach,China,,,
Jianxiawo,Lepidolite,Estimated from Garrett 2004,"46,000",?,,Li: 7576; K: 24734; Mg: 60; Ca: 429; Na: 38070; B: 0; SO4: 0; Si: 321000; Rb: 3016; F: 18600; Cs:0,ppm,,g/cm3,Li: 21630; K: 69305; Mg: 0; Ca: 125000; Na: 8384; B: 0; SO4: 0; Si: 258800; Rb: 10785; F: 11100; Cs:1886,ppm,,g/cm3,-,5,0.15,0.05,1.3,0.25,Blasting & Excavation,China,haul_truck: ,Salt Roast + Water Leach,China,,,
