Source,Pathway,Detailed Pathway,Emissions Factor,Unit,Citation,Source [detailed],Notes
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Cauchari-Olaroz],13.54,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Cauchari],15.60,t CO2e/t LC,Chordia et al. 2022,S5.2 Table,
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Hombre Muerto?],4.61,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Hombre Muerto],7.9,t CO2e/t LC,Sun et al. 2025,Table S1,
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Hombre Muerto],8.0,t CO2e/t LC,Schenker et al. 2022,Page 6,
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Olaroz],7.5,t CO2e/t LC,Sun et al. 2025,Table S1,
Brine-Evaporation,Argentina,Brine-Evaporation - Argentina [Salar de Olaroz],7.4,t CO2e/t LC,Schenker et al. 2022,Page 6,
Brine-Evaporation,Argentina,Brines-Evaporation - Argentina [Salar de Cauchari-Olaroz],9.3,t CO2e/t LC,Mousavinezhad et al. 2024,Page 6,
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama - Albemarle?],4.45,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama - SQM?],3.07,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],5.50,t CO2e/t LC,Chordia et al. 2022,S5.1 Table,
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],5.82,t CO2e/t LC,He et al. 2025,Fig. 8,
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],3.4,t CO2e/t LC,Schenker et al. 2022,Page 4,
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],3.2,t CO2e/t LC,Sun et al. 2025,Table S1,
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],4.0,t CO2e/t LC,Khakmardan et al. 2023,Fig. 3,Emissions factors are approximate as exact values are not given
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Atacama],2.02,t CO2e/t LC,Stamp 2012,Page 109,Likely disregard (spodumene was not very significant in 2012)
Brine-Evaporation,Chile,Brine-Evaporation - Chile [Salar de Maricunga],17.30,t CO2e/t LC,Chordia et al. 2022,S5.2 Table,
Brine-Evaporation,Chile,Brine-Evaporation - Chile High,3.1,t CO2e/t LC,Kelly et al. 2021,Fig. 4,
Brine-Evaporation,Chile,Brine-Evaporation - Chile Low,2.7,t CO2e/t LC,Kelly et al. 2021,Fig. 4,
Brine-Evaporation,Chile,Brines-Evaporation - Chile [Salar de Atacama],6.17,t CO2e/t LC,Mousavinezhad et al. 2024,Page 6,
Brine-Evaporation,China,Brine-Evaporation - China [Chaerhan Salt Lake],31.6,t CO2e/t LC,Schenker et al. 2022,Page 6,
Brine-Evaporation,China,Brine-Evaporation - China [Zabuye Salt Lake?],17.68,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Brine-Evaporation,Generic,Brines-Evaporation - Generic,3.292,t CO2e/t LC,Bonk 2022,Page 66,
Brine-Evaporation,US,Brine-Evaporation - US [Silver Peak],8.1,t CO2e/t LC,Sun et al. 2025,Table S1,
Brine-Evaporation,US,Brines-Evaporation - US [Silver Peak],21.19,t CO2e/t LC,Peiseler et al. 2025,"Figure 1, Supplementary Data","Best guess of match, exact project not specified"
Clays,Low-grade Rock Minerals,Low-grade Rock Minerals,3.32,t CO2e/t LC,Ambrose and Kendall 2020b,Figure 2 / Supplementary 2,
Clays,Mexico,Clay-Acid Leaching - Mexico [Sonora],20.38,t CO2e/t LC,Khakmardan et al. 2024,Table 3,"ReCiPe 2016 method, mid H"
Clays,Mexico,Clay-Acid Leaching - Mexico [Sonora],22.0,t CO2e/t LC,Khakmardan et al. 2023,Fig. 3,Emissions factors are approximate as exact values are not given
Clays,Peru,Clay-Acid Leaching - Peru [Falchani],17.10,t CO2e/t LC,Khakmardan et al. 2024,Table 3,"ReCiPe 2016 method, mid H"
Clays,US,Clay - US High,16.6,t CO2e/t LC,Iyer and Kelly 2024,Table 2,
Clays,US,Clay-Acid Leaching - US [Thacker Pass],22.51,t CO2e/t LC,Khakmardan et al. 2024,Table 3,"ReCiPe 2016 method, mid H"
Clays,US,Clays - US Low,8.9,t CO2e/t LC,Iyer and Kelly 2024,Table 2,
